,year,prov,spc,total,pop,den
0,2015,กระบี่,Anesthesiology,6.0,462101,1.2984174455367983
1,2015,กระบี่,Emergency Medicine,3.0,462101,0.6492087227683991
2,2015,กระบี่,Family Medicine,7.0,462101,1.5148203531262645
3,2015,กระบี่,General Practitioner,1.0,462101,0.21640290758946637
4,2015,กระบี่,Gynecology,11.0,462101,2.38043198348413
5,2015,กระบี่,Internal Medicine,8.0,462101,1.731223260715731
6,2015,กระบี่,Neurosurgery,3.0,462101,0.6492087227683991
7,2015,กระบี่,Ophthalmology,7.0,462101,1.5148203531262645
8,2015,กระบี่,Orthopedic,5.0,462101,1.0820145379473318
9,2015,กระบี่,Otolaryngology,4.0,462101,0.8656116303578655
10,2015,กระบี่,Pathology,0.0,462101,0.0
11,2015,กระบี่,Pediatrics,11.0,462101,2.38043198348413
12,2015,กระบี่,Physician,91.0,462101,19.69266459064144
13,2015,กระบี่,Preventive Medicine,1.0,462101,0.21640290758946637
14,2015,กระบี่,Psychiatry,2.0,462101,0.43280581517893274
15,2015,กระบี่,Radiology,5.0,462101,1.0820145379473318
16,2015,กระบี่,Rehabilitation Medicine,1.0,462101,0.21640290758946637
17,2015,กระบี่,Surgery,8.0,462101,1.731223260715731
18,2015,กรุงเทพมหานคร,Anesthesiology,141.0,5696409,2.475243614003138
19,2015,กรุงเทพมหานคร,Emergency Medicine,24.0,5696409,0.4213180619579809
20,2015,กรุงเทพมหานคร,Family Medicine,84.0,5696409,1.4746132168529331
21,2015,กรุงเทพมหานคร,General Practitioner,97.0,5696409,1.702827167080173
22,2015,กรุงเทพมหานคร,Gynecology,156.0,5696409,2.738567402726876
23,2015,กรุงเทพมหานคร,Internal Medicine,560.0,5696409,9.830754779019555
24,2015,กรุงเทพมหานคร,Neurosurgery,40.0,5696409,0.7021967699299682
25,2015,กรุงเทพมหานคร,Ophthalmology,110.0,5696409,1.9310411173074125
26,2015,กรุงเทพมหานคร,Orthopedic,103.0,5696409,1.808156682569668
27,2015,กรุงเทพมหานคร,Otolaryngology,79.0,5696409,1.3868386206116872
28,2015,กรุงเทพมหานคร,Pathology,65.0,5696409,1.1410697511361982
29,2015,กรุงเทพมหานคร,Pediatrics,202.0,5696409,3.5460936881463394
30,2015,กรุงเทพมหานคร,Physician,2361.0,5696409,41.44716434511637
31,2015,กรุงเทพมหานคร,Preventive Medicine,7.0,5696409,0.12288443473774444
32,2015,กรุงเทพมหานคร,Psychiatry,96.0,5696409,1.6852722478319235
33,2015,กรุงเทพมหานคร,Radiology,201.0,5696409,3.5285387688980903
34,2015,กรุงเทพมหานคร,Rehabilitation Medicine,60.0,5696409,1.0532951548949523
35,2015,กรุงเทพมหานคร,Surgery,274.0,5696409,4.810047874020282
36,2015,กาญจนบุรี,Anesthesiology,2.0,882146,0.22671984002648088
37,2015,กาญจนบุรี,Emergency Medicine,0.0,882146,0.0
38,2015,กาญจนบุรี,Family Medicine,1.0,882146,0.11335992001324044
39,2015,กาญจนบุรี,General Practitioner,24.0,882146,2.7206380803177703
40,2015,กาญจนบุรี,Gynecology,2.0,882146,0.22671984002648088
41,2015,กาญจนบุรี,Internal Medicine,3.0,882146,0.3400797600397213
42,2015,กาญจนบุรี,Neurosurgery,0.0,882146,0.0
43,2015,กาญจนบุรี,Ophthalmology,3.0,882146,0.3400797600397213
44,2015,กาญจนบุรี,Orthopedic,2.0,882146,0.22671984002648088
45,2015,กาญจนบุรี,Otolaryngology,2.0,882146,0.22671984002648088
46,2015,กาญจนบุรี,Pathology,0.0,882146,0.0
47,2015,กาญจนบุรี,Pediatrics,8.0,882146,0.9068793601059235
